F (vij);prediction_trainig;F_ref;nirK2;ppx;ppk;nirS1;nirS3;nifH;pqqC;phoX;mmoX;naglu;nirK3;sga
0;training;0.75;0.23698456;0.101026266;-0.336809935;-0.034163531;-0.139673195;0.00104944;-5.20E-08;-0.335627632;-0.185224789;-0.185224789;-0.00755634;1.28E-10
1;training;0.75;0.107270103;-0.20341093;0.00023167;0.002588281;-0.021517996;-0.188947842;-0.015383694;0.007769391;-0.018248685;-0.044994228;0.001196855;-3.80E-06
0;training;0.25;0.074571851;0.065374448;0.000213481;0.113467782;0.020188368;0.046975283;1.66E-05;0.005879536;0.023747636;0.095024834;0.000163161;2.83E-07
1;prediction;0.75;0.107247572;0.043227905;0.00098789;-0.039225472;0.055927497;0;0;-0.267952474;0.039177213;0.050503731;2.22E-07;0.000175396
1;training;0.5;0.036999947;-0.002997805;4.62E-05;0.002527487;5.01E-05;5.40E-07;0;-6.98E-05;-0.001651737;0.04586292;-0.000602544;0.001464912
1;training;0.5;-0.200362129;-1.79E-05;0.001020532;0.035086148;0.071797377;0.000218292;0;-0.137540915;0.051309226;-0.01223368;5.72E-05;1.08E-12
1;training;0.5;-0.058658407;-0.080460976;0.000143051;-0.200457979;-0.035585898;-7.77E-16;-1.15E-14;-0.001314296;0.007049952;-0.172078348;-0.00011424;-0.001623769
1;prediction;0.25;-0.036866038;-0.023329539;-0.000219141;0.017652354;0.001263672;0.079084713;0.015364165;-0.00366534;-0.003193774;-0.024338112;-0.028245277;-0.001181194
1;training;0.25;0.193801688;0.048609026;0.000694162;0.088609209;0.015632789;-0.000130159;9.32E-08;0.011594686;0.00537791;0.072275134;0.000656959;0.001464446
1;training;0.25;0.132996124;-0.164409805;-0.000658072;0.008544318;-0.023836202;-0.09674418;0.019204986;0.004037179;-0.048349535;-0.073327117;0.00449485;-3.50E-05
0;training;0.75;-0.211259461;0.006023667;-0.000128137;-0.145615829;0.0054611;2.58E-07;0;-0.081405033;-0.026194631;-0.247152896;-1.12E-06;-1.58E-07
0;prediction;0.75;0.207678974;0.051349141;-0.23868099;0.045196384;0.065493801;0.020346434;-1.79E-10;0.003386354;0.034726897;-0.239321985;-0.000211805;5.91E-07
0;training;0.5;0.003947806;-0.021350805;-0.000119213;0.148624284;-0.111455069;0.06857444;0.001355577;-0.00014702;-0.042915812;0.00519139;0.025103849;-0.000498581
1;training;0.75;-0.085678982;-0.16275172;-0.000254775;-0.010589223;-0.03088916;0;1.06E-13;0.002376139;0.007917627;-0.043861875;-0.000180093;4.17E-05
0;training;0.75;0.06286188;0.191992216;-0.000357935;0.007431338;0.02536069;0.224948647;4.30E-12;-0.04426552;0.319237895;0.076215181;0.153203856;0.000592302
0;prediction;0.75;-0.065808389;0.04494339;1.00E-05;-0.061216171;0.006356876;0.000221628;-1.22E-09;-0.008643962;-0.018653288;-0.035523648;-7.49E-06;-0.001011213
1;training;0.5;0.079800705;0.093303473;-0.001319458;-0.007489621;-0.012141723;0.020384853;0;0.001298209;0.039570681;-0.052986045;0.006637801;3.88E-09
1;training;0.25;0.020169279;-0.061603721;-7.97E-05;-0.025822216;0.002818404;-0.043260283;2.35E-11;-0.000692361;0.012031941;-0.01626486;4.26E-05;-7.35E-07
1;training;0.25;-0.133031136;0.23609779;4.20E-05;-0.008539596;0.12943166;0.120373418;0.014026518;-0.009266542;0.055493073;-0.015269249;-0.027950132;-1.47E-05
0;prediction;0.5;0.052941767;0.15736608;0.001023382;0.007496341;0.035769005;3.95E-10;6.05E-08;0.001187059;0.032061374;0.15258837;0.044737971;0.020569243
